Pgroup,Lp,Pkod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
CHEMISTRY,1,2889,HELP  1 L DO NACZYN CYTRYNA,0.021390374,8,0,0,
CHEMISTRY,1,19199,HELP 0.5 L MIETA DO NACZYN,0.040106952,15,0,0,
CHEMISTRY,1,16018,HELP 1 L DO NACZYN MIETA,0.024064171,9,0,0,
CHEMISTRY,1,17678,HELP 1 L UNIWERSALNY,0.010695187,4,0,0,
CHEMISTRY,1,16731,HELP 1 L Z LANOLINA,0.00802139,3,0,0,
CHEMISTRY,1,9693,HELP 1L CZARNY,0.00802139,3,0,0,
CHEMISTRY,1,7222,HELP 300 G WHITE,0.018716578,7,0,0,
CHEMISTRY,1,8431,HELP KOLOR 1.88 PROSZEK,0.002673797,1,0,0,
CHEMISTRY,1,7017,HELP PLYN DO PLUKANIA KONC.1 L,0.002673797,1,0,0,
CHEMISTRY,1,7373,HELP PLYN DO P?UKANIA KWIATOWY 1 L,0.010695187,4,0,0,
CHEMISTRY,1,8334,HELP PLYN DO WC 750 ML,0.010695187,4,0,0,
CHEMISTRY,1,9948,KAPSULKI DO ZMYWARKI FAIRY LEMON 10SZT,0.005347594,2,0,0,
CHEMISTRY,1,1611,KLEJ KROPELKA,0.082887701,31,0,0,
CHEMISTRY,1,1620,KLEJ SUPER GLUE,0.037433155,14,0,0,
CHEMISTRY,1,4957,KLEJ W SZTYFCIE,0.010695187,4,0,0,
CHEMISTRY,1,6005,KOMFORT PLYN DO PRANIA 500 ML,0.002673797,1,0,0,
CHEMISTRY,1,16430,KONTOMIERZ 180,0.002673797,1,0,0,
CHEMISTRY,1,7568,KOSTKA DO WC FORCE,0.002673797,1,0,0,
CHEMISTRY,1,3524,KRAZKI KUKURYDZIANE 60 G,0.026737968,10,0,0,
CHEMISTRY,1,4949,KREDKI OLOWKOWE 12 SZT,0.002673797,1,0,0,
CHEMISTRY,1,18923,KREDKI O?OWKOWE 12 SZT,0.010695187,4,0,0,
CHEMISTRY,1,9811,KREDKI SWIECACE 12 SZT,0.010695187,4,0,0,
CHEMISTRY,1,18924,KREDKI SWIECOWE WKRECANE  12 SZT,0.002673797,1,0,0,
CHEMISTRY,1,1657,KREM BAMBINO 75ML,0.032085561,12,0,0,
CHEMISTRY,1,13860,KREM DO RAK ZIOLA POLSKIE,0.005347594,2,0,0,
CHEMISTRY,1,8019,KREM DO STOP 100 ML,0.005347594,2,0,0,
CHEMISTRY,1,3502,KRET GRANULKI 500G,0.005347594,2,0,0,
CHEMISTRY,1,5410,KRET W TABLATKACH 3W1,0.010695187,4,0,0,
CHEMISTRY,1,8555,KUBEK 180 ML,0.227272727,85,0,0,
CHEMISTRY,1,10075,KUSCHELWEICH 990 ML NIEBIESKI DO PLUKANI,0.013368984,5,0,0,
CHEMISTRY,1,19122,LAKIER DO WLOS.SYNTEZA 120ML ZAPAS,0.013368984,5,0,0,
CHEMISTRY,1,5061,LAKIER DO WLOSOW 200 ML EVA,0.005347594,2,0,0,
CHEMISTRY,1,5060,LAKIER DO WLOSOW EVA 200 ML,0.010695187,4,0,0,
CHEMISTRY,1,2876,LAKIER PROFESSIONAL 265ML,0.010695187,4,0,0,
CHEMISTRY,1,6447,LENOR PLYN SUMMER 1 L,0.002673797,1,0,0,
CHEMISTRY,1,18926,LINIJKA 20 CM,0.002673797,1,0,0,
CHEMISTRY,1,27,LUDWIK D/NACZYN 0.5 L MIETA,0.026737968,10,0,0,
CHEMISTRY,1,1999,LUDWIK D/NACZYN 1L MIETOW,0.082887701,31,0,0,
CHEMISTRY,1,26,LUDWIK D/NACZYN 500 ML CYTRYNA,0.07486631,28,0,0,
CHEMISTRY,1,14686,LUDWIK D/NACZYN BALSAM 1L,0.016042781,6,0,0,
CHEMISTRY,1,14685,LUDWIK D/NACZYN BALSAM 500ML,0.050802139,19,0,0,
CHEMISTRY,1,16079,LUDWIK DO ZATLUSZCZONYCH POWIERZ.0.75,0.005347594,2,0,0,
CHEMISTRY,1,9634,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,0.005347594,2,0,0,
CHEMISTRY,1,9633,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,0.005347594,2,0,0,
CHEMISTRY,1,9635,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,0.005347594,2,0,0,
CHEMISTRY,1,11150,LUDWIK PLYN UNIWERSALNY 1 L,0.002673797,1,0,0,
CHEMISTRY,1,11152,LUDWIK PLYN UNIWERSALNY 1 L,0.005347594,2,0,0,
CHEMISTRY,1,10213,LUDWIK P?YN DO MYCIA SZYB/GLAZUR CYTRYNA,0.005347594,2,0,0,
CHEMISTRY,1,10209,LUDWIK P?YN DO SZYB I GLAZUR 750ML,0.005347594,2,0,0,
CHEMISTRY,1,14249,LUDWIK UNIWERSALNY 1 L,0.002673797,1,0,0,
CHEMISTRY,1,8146,LUGA KROCHMAL 750ML,0.00802139,3,0,0,
CHEMISTRY,1,7935,LYZKI 12 SZT,0.002673797,1,0,0,
CHEMISTRY,1,11178,MAKARON SULMA PIORA 500 G,0.002673797,1,0,0,
