Lp,PKod,Pavarage_stock,Pgroup,Pname,Psale,Rotation_in_days,Rotation_in_times,_id,p_sale_in_time
1,5534,0,MILK,NAP HELLENA 400 ML,0,NaN,NaN,61ee03758281e78e240fceee,0
1,18786,0,MILK,NAP HELLO KITTY  350,0,NaN,NaN,61ee03758281e78e240fcef1,0
1,18046,0,MILK,NAP HORTEX 1.75 L WIS+JAB,0,NaN,NaN,61ee03758281e78e240fcf10,0
1,5169,0,MILK,NAP HORTEX FRESZ 1 L GRE+POM+LIM,0,NaN,NaN,61ee03758281e78e240fcf15,0
1,5606,0,MILK,NAP HORTEX WODA 0.5 L JAGODA,0,NaN,NaN,61ee03758281e78e240fcf23,0
1,13092,0,MILK,NAP ICE TEA CYTRYNA 0.5L,0,NaN,NaN,61ee03758281e78e240fcf24,0
1,19264,0,MILK,NAP IZOTONICZ.0.5 LEMON,0,NaN,NaN,61ee03758281e78e240fcf28,0
1,16218,0,MILK,NAP MIRINDA 0.6 L POM.,0,NaN,NaN,61ee03758281e78e240fcf38,0
1,18716,0,MILK,NAP NAESTIA  1.5 L,0,NaN,NaN,61ee03758281e78e240fcf48,0
1,18719,0,MILK,NAP NAPI 0.2 L,0,NaN,NaN,61ee03758281e78e240fcf49,0
1,18022,0,MILK,WODA ZYWIEC 1.5 N/G BRZOSKW.,89,0,,61ee03758281e78e240fcd7e,0.237967914
1,8929,12,MILK,WODA USTRONIANKA 1.5 L N/GAZ JABLKO,12,374,1,61ee03758281e78e240fcd9f,0.032085561
1,9291,18,MILK,WODA USTRONIANKA Z JODEM 1.5 L,18,374,1,61ee03758281e78e240fcda0,0.048128342
1,2288,4,MILK,ZBYSZKO  3 ORZNZADA CZERW.1.75 L GAZ,8,187,2,61ee03758281e78e240fcdaf,0.021390374
1,15639,2,MILK,NAP BURN 0.25L PUSZKA COCA-COLA,10,74.8,5,61ee03758281e78e240fcdb8,0.026737968
1,18721,3,MILK,JOGURT GRECKI 150 G TRUSK.,43,26.09302326,14.33333333,61ee03758281e78e240fcdd7,0.114973262
1,19422,0,MILK,A NESTIA CYTRYNA 0.5 L,0,NaN,NaN,61ee03758281e78e240fcde8,0
1,17202,0,MILK,DZIEN I NOC JABLKO I WISNIA  1 L,0,NaN,NaN,61ee03758281e78e240fce0c,0
1,4187,0,MILK,DZIEN I NOC SOK BAN+POM+JAB 0.2L,0,NaN,NaN,61ee03758281e78e240fce11,0
1,4193,0,MILK,KUBUS MARCHEW MALINA 0.33 L,0,NaN,NaN,61ee03758281e78e240fce42,0
1,17687,0,MILK,NAP ALOE VERA 0.5 L,0,NaN,NaN,61ee03758281e78e240fce60,0
1,18166,0,MILK,NAP ALOE VERA 1.5 L,0,NaN,NaN,61ee03758281e78e240fce61,0
1,17645,0,MILK,NAP BINGO 1.5 L ORANZADA,0,NaN,NaN,61ee03758281e78e240fce6c,0
1,18165,0,MILK,NAP DODONI 0.5 L WINOG,0,NaN,NaN,61ee03758281e78e240fcea3,0
1,17679,0,MILK,NAP DODONI 1.75 N/G CZAR.PORZECZKA,0,NaN,NaN,61ee03758281e78e240fceaa,0
1,16372,0,MILK,NAP DODONI JABKO 2 L N/G,0,NaN,NaN,61ee03758281e78e240fceb3,0
1,18332,0,MILK,NAP ENERGETYCZNY 0.25 AMP 2 R,0,NaN,NaN,61ee03758281e78e240fcec3,0
1,14370,0,MILK,NAP ENERGI DEVIL 0.25,0,NaN,NaN,61ee03758281e78e240fceca,0
1,11236,0,MILK,NAP FRUGO 750 ML Z?TE,0,NaN,NaN,61ee03758281e78e240fced9,0
1,7140,0,MILK,NAP FRUGO SUUPERR 0.5 L,0,NaN,NaN,61ee03758281e78e240fcedb,0
1,7006,0,MILK,NAP GARDEN JABLKO ANTONOWKA 2L,0,NaN,NaN,61ee03758281e78e240fcee3,0
1,3196,0,MILK,NAP JURAJSKA 1.5 L GAZ ORANGE,0,NaN,NaN,61ee03758281e78e240fcf33,0
1,16944,0,MILK,NAP LAS VEGAS ENERGETYK 1 L,0,NaN,NaN,61ee03758281e78e240fcf35,0
1,5776,0,MILK,NAP MR MAX COLA 2 L GAZ,0,NaN,NaN,61ee03758281e78e240fcf41,0
1,4981,0,MILK,NAP MR MAX JABLKO NGAZ 2L,0,NaN,NaN,61ee03758281e78e240fcf43,0
1,4125,0,MILK,WODA PRIMAVERA 1.5L N/GAZ,743,0,,61ee03758281e78e240fcd69,1.986631016
1,4124,0,MILK,WODA PRIMAVERA 1.5L GAZ,376,0,,61ee03758281e78e240fcd68,1.005347594
1,675,0,MILK,WODA ZYWIEC 0.5L GAZ,130,0,,61ee03758281e78e240fcd77,0.347593583
1,5565,0,MILK,WODA ZYWIEC 1.5 L N/GAZ TRUSKA,92,0,,61ee03758281e78e240fcd7d,0.245989305
1,9883,0,MILK,ZBYSZKO LEMONIADA 1.25 LCYT+JAB+RABAR,6,0,,61ee03758281e78e240fcd8d,0.016042781
1,11389,11,MILK,NAP HORTEX 0.2 L SCOOBY-DOO,19,216.5263158,1.727272727,61ee03758281e78e240fcda7,0.050802139
1,8922,6,MILK,WODA USTRONIANKA 1.5 L N/GAZ CYTR,18,124.6666667,3,61ee03758281e78e240fcdb1,0.048128342
1,2413,14,MILK,LODY KAKTUS CYTR.45 ML,45,116.3555556,3.214285714,61ee03758281e78e240fcdb2,0.120320856
1,9886,3,MILK,KUBUS PLAY 0.4 WODA +OWOC,21,53.42857143,7,61ee03758281e78e240fcdbf,0.056149733
1,18333,0,MILK,CHRUPKI 70 G,0,NaN,NaN,61ee03758281e78e240fcdf2,0
